-2.8,-5.46,-9.33
3.12,2.27,9.09
-5.9,-6.35,-4.26
0.62,-0.23,-0.27
-5.81,-2.35,5.31
3.04,-7.39,-7.19
-2.72,6.83,-2.7
5.09,-7.42,-2.83
-6.15,-3.78,-3.94
2.12,9.97,7.97
-8.28,5.25,-1.97
1.9,9.9,4.66
5.14,3.89,8.6
1.95,-3.16,6.59
6.36,-3.81,-5.97
4.91,-2.09,6.26
-9.03,6.15,3.96
3.24,-2.38,-1.8
5.47,5.64,-4.29
-4.41,8.82,7.31
7.93,-1.92,4.45
-8.71,-7.62,-8.78
4.98,-1.77,-0.37
-2.45,1.87,-4.12
2.82,4.64,0.19
-6.51,-4.71,5.33
-0.31,-6.4,5.31
4.25,-1.25,0.41
4.42,-6.91,3.54
-1.71,0.07,7.36
-0.77,-6.11,-9.04
9.49,-4.94,6.63
-3.13,3.67,8.15
-3.13,-4.43,-5.36
2.47,-1.37,-9.62
0.76,6.94,-0.19
-5.7,5.07,-4.67
-7.0,8.58,-5.16
-6.21,-2.04,5.39
8.29,-8.97,-4.36
-2.82,-7.74,-4.08
2.22,0.35,-0.38
9.74,-1.27,1.28
-7.5,-1.63,-9.04
4.86,-0.77,9.02
5.66,-0.58,-6.32
-9.74,-7.51,-7.07
-2.74,3.82,9.45
3.76,-8.56,6.39
7.82,6.72,7.55
5.41,-6.83,8.57
-4.95,8.4,-0.08
0.44,0.06,-9.0
-0.96,-4.2,-1.48
-6.23,-2.44,8.54
2.55,-6.95,-6.34
-3.22,0.05,-9.65
7.88,-3.64,9.08
-5.76,7.35,-2.01
0.69,-2.8,-7.45
8.69,8.35,-3.47
-4.85,-7.79,-4.35
6.97,7.87,-2.6
-5.16,3.71,-6.89
-4.98,-3.44,4.71
-1.74,-1.15,-7.43
4.37,8.36,2.92
5.41,-3.23,-5.53
6.09,7.33,-8.14
-1.42,2.82,-9.95
0.22,3.16,5.21
0.63,2.62,-9.92
2.28,7.58,1.59
-0.25,5.8,-3.23
1.48,-1.67,-2.05
-2.96,9.8,5.62
-0.37,-2.9,0.98
9.16,-1.42,4.88
0.42,4.04,-1.68
-5.28,9.92,-7.95
8.28,-4.03,-4.51
-4.2,2.39,0.14
-1.04,5.73,4.64
2.71,-0.92,-8.98
5.59,7.08,0.56
-5.13,-8.22,4.4
-2.39,6.62,-0.76
5.75,-1.08,7.93
-9.11,-8.8,-6.67
3.37,0.72,9.81
1.69,6.31,-2.93
8.79,1.48,-0.14
-8.38,8.54,-8.1
1.07,-9.59,-1.54
-7.98,-2.48,-5.26
2.05,8.73,-9.14
0.19,-3.97,-1.89
-4.36,7.28,2.32
